dateTime,steps,minutesAsleep,efficiency,restingHeartRate,active_minutes,sedentaryMinutes
2025-01-01,6761,472,89,68.6,45,376
2025-01-02,4452,408,92,74.7,50,348
2025-01-03,9637,403,92,82.0,64,548
2025-01-04,4594,522,84,64.8,18,323
2025-01-05,8023,514,90,75.0,60,394
2025-01-06,7051,466,74,68.0,79,261
2025-01-07,4860,439,88,71.8,10,433
2025-01-08,6303,409,90,70.9,68,317
2025-01-09,7009,395,68,66.7,57,443
2025-01-10,7838,478,77,71.5,69,376
2025-01-11,4046,480,89,76.1,10,468
2025-01-12,5787,498,85,72.9,40,454
2025-01-13,5320,442,86,73.8,50,402
2025-01-14,5788,370,76,72.7,38,309
2025-01-15,6905,533,80,80.2,79,481
2025-01-16,6600,482,85,73.7,37,467
2025-01-17,7427,346,74,70.9,75,400
2025-01-18,5699,475,77,72.3,45,485
2025-01-19,7878,500,88,69.0,80,357
2025-01-20,7719,449,81,67.8,52,430
2025-01-21,4685,416,87,73.2,31,314
2025-01-22,4419,478,85,77.6,50,498
2025-01-23,5724,407,85,65.0,50,301
2025-01-24,3079,459,91,70.3,23,318
2025-01-25,6283,491,91,63.1,37,398
2025-01-26,8055,440,84,71.9,56,427
2025-01-27,7957,444,78,68.7,70,593
2025-01-28,5305,473,84,70.7,29,397
2025-01-29,4747,433,81,70.4,14,423
2025-01-30,4961,497,82,63.8,45,382
2025-01-31,6832,463,80,67.3,15,480
2025-02-01,5929,521,76,72.0,84,508
2025-02-02,3440,538,89,76.7,24,538
2025-02-03,5248,437,86,76.9,51,394
2025-02-04,4847,412,79,82.5,38,224
2025-02-05,7007,452,84,69.7,39,418
2025-02-06,5240,445,73,74.8,54,335
2025-02-07,6307,472,76,71.8,73,317
2025-02-08,6526,400,87,65.2,51,416
2025-02-09,6613,480,81,70.5,49,399
2025-02-10,7362,436,67,65.3,49,314
2025-02-11,8597,364,87,69.6,47,364
2025-02-12,8129,451,86,78.4,52,431
2025-02-13,5635,437,87,68.8,50,372
2025-02-14,7433,402,85,65.9,42,312
2025-02-15,5276,467,92,73.3,50,440
2025-02-16,6612,550,90,65.9,55,496
2025-02-17,5964,398,94,70.2,52,320
2025-02-18,6548,442,83,75.6,62,344
2025-02-19,5701,484,93,74.3,40,399
2025-02-20,4324,494,86,71.6,47,198
2025-02-21,6974,397,77,70.4,51,428
2025-02-22,8191,520,96,64.3,67,395
2025-02-23,5324,409,89,71.0,43,491
2025-02-24,7322,444,92,70.0,48,499
2025-02-25,8219,493,83,67.9,52,533
2025-02-26,3197,490,88,74.5,18,444
2025-02-27,7623,550,91,65.9,51,402
2025-02-28,5784,427,74,68.8,48,331
2025-03-01,5969,496,91,69.4,33,529
2025-03-02,7542,485,94,70.2,57,496
2025-03-03,4894,422,97,75.1,33,440
2025-03-04,6149,458,89,75.9,46,363
2025-03-05,8086,460,82,76.4,80,410
2025-03-06,4351,403,77,71.4,25,411
2025-03-07,3406,427,87,72.7,26,475
2025-03-08,6047,463,87,66.9,55,338
2025-03-09,4408,498,92,73.3,16,364
2025-03-10,5339,451,94,71.2,38,419
2025-03-11,4153,374,78,75.0,23,505
2025-03-12,6241,403,76,70.1,33,450
2025-03-13,7215,449,79,70.8,64,451
2025-03-14,4393,416,74,62.9,36,366
2025-03-15,3633,480,85,71.2,27,450
2025-03-16,6024,446,86,80.2,62,459
2025-03-17,6386,485,91,71.9,50,419
2025-03-18,6463,505,93,67.2,65,483
2025-03-19,8360,431,84,71.2,51,506
2025-03-20,8025,458,87,71.5,69,415
2025-03-21,6656,426,80,67.4,36,343
2025-03-22,5091,473,87,67.5,4,378
2025-03-23,4064,475,87,68.2,36,288
2025-03-24,4614,541,91,76.3,23,332
2025-03-25,5476,324,85,68.8,47,441
2025-03-26,5644,458,75,72.9,52,342
2025-03-27,5009,526,96,65.6,67,405
2025-03-28,5657,473,84,71.1,42,318
2025-03-29,6716,469,77,73.3,32,358
2025-03-30,8842,508,94,65.2,66,482
2025-03-31,6454,493,79,69.5,41,343
2025-04-01,6520,411,85,73.3,19,380
2025-04-02,3329,386,86,67.9,46,295
2025-04-03,4909,472,93,70.4,46,357
2025-04-04,7406,433,89,69.8,65,523
2025-04-05,8447,461,91,70.0,72,292
2025-04-06,4984,422,87,70.0,43,307
2025-04-07,8713,504,97,62.3,62,431
2025-04-08,8370,376,92,75.1,59,309
2025-04-09,5266,368,89,84.9,27,405
2025-04-10,4872,439,92,66.1,20,547
2025-04-11,5422,463,75,73.5,38,479
2025-04-12,4589,491,85,67.1,27,458
2025-04-13,7805,536,89,71.8,48,452
2025-04-14,4244,385,82,74.4,23,419
2025-04-15,5404,377,82,73.1,42,431
2025-04-16,4953,491,96,67.2,46,475
2025-04-17,9226,428,87,71.5,60,359
2025-04-18,8999,392,91,59.6,48,313
2025-04-19,6005,477,97,74.1,24,428
2025-04-20,5491,532,80,72.5,34,264
2025-04-21,7963,514,95,71.8,48,320
2025-04-22,4520,370,73,66.3,41,518
2025-04-23,3280,478,84,70.0,20,395
2025-04-24,4254,398,83,71.1,32,440
2025-04-25,4990,545,82,72.7,39,456
2025-04-26,5914,513,87,70.4,63,359
2025-04-27,3671,442,80,75.3,42,355
2025-04-28,7411,472,82,74.0,59,446
2025-04-29,7217,428,88,76.1,68,348
2025-04-30,4327,440,89,62.8,25,367
