day,steps,total_sleep_duration,efficiency,sleep_midpoint_hour,average_hrv,lowest_resting_heart_rate,readiness_score,activity_score,active_minutes
2025-01-01,6761,28332,88.8,3.56,48.2,68.6,61,62,45
2025-01-02,4452,24480,91.7,2.74,40.6,74.7,47,47,50
2025-01-03,9637,24156,92.1,4.02,74.1,82.0,46,80,64
2025-01-04,4594,31320,84.1,3.41,49.3,64.8,83,48,18
2025-01-05,8023,30852,89.9,3.99,47.6,75.0,59,70,60
2025-01-06,7051,27972,73.8,2.34,49.5,68.0,72,63,79
2025-01-07,4860,26316,87.7,3.94,29.4,71.8,54,50,10
2025-01-08,6303,24552,89.9,4.1,30.2,70.9,49,59,68
2025-01-09,7009,23724,68.4,4.66,57.1,66.7,55,63,57
2025-01-10,7838,28692,77.4,3.28,72.8,71.5,59,68,69
2025-01-11,4046,28800,89.4,3.63,29.5,76.1,56,45,10
2025-01-12,5787,29880,85.4,1.48,42.8,72.9,58,56,40
2025-01-13,5320,26496,85.7,3.78,36.3,73.8,41,53,50
2025-01-14,5788,22212,75.7,2.52,38.3,72.7,62,56,38
2025-01-15,6905,32004,80.5,4.07,50.6,80.2,54,63,79
2025-01-16,6600,28908,85.4,3.41,58.0,73.7,54,61,37
2025-01-17,7427,20772,73.9,3.71,46.6,70.9,56,66,75
2025-01-18,5699,28512,77.4,5.75,34.4,72.3,54,55,45
2025-01-19,7878,30024,88.3,4.13,64.7,69.0,60,69,80
2025-01-20,7719,26928,80.6,2.96,45.5,67.8,48,68,52
2025-01-21,4685,24984,86.6,3.87,32.1,73.2,49,49,31
2025-01-22,4419,28656,85.1,1.99,38.0,77.6,64,47,50
2025-01-23,5724,24408,85.2,4.32,34.7,65.0,50,55,50
2025-01-24,3079,27540,90.7,4.57,32.6,70.3,40,39,23
2025-01-25,6283,29484,91.1,3.9,37.4,63.1,56,59,37
2025-01-26,8055,26388,84.1,5.52,56.0,71.9,64,70,56
2025-01-27,7957,26640,77.8,4.1,45.2,68.7,56,69,70
2025-01-28,5305,28368,84.5,2.58,38.1,70.7,46,53,29
2025-01-29,4747,25956,80.9,4.95,44.7,70.4,49,49,14
2025-01-30,4961,29808,82.5,3.91,40.0,63.8,52,50,45
2025-01-31,6832,27756,80.3,2.69,34.3,67.3,42,62,15
2025-02-01,5929,31248,75.9,4.53,41.0,72.0,63,56,84
2025-02-02,3440,32256,89.2,4.47,32.6,76.7,53,41,24
2025-02-03,5248,26208,86.0,3.29,41.6,76.9,55,52,51
2025-02-04,4847,24696,79.2,3.96,40.1,82.5,61,50,38
2025-02-05,7007,27144,84.0,3.41,43.5,69.7,45,63,39
2025-02-06,5240,26712,72.6,4.25,33.9,74.8,62,52,54
2025-02-07,6307,28332,75.8,3.42,43.9,71.8,62,59,73
2025-02-08,6526,24012,87.2,4.6,39.2,65.2,64,60,51
2025-02-09,6613,28800,81.4,3.95,44.1,70.5,42,61,49
2025-02-10,7362,26172,67.2,3.73,49.2,65.3,50,65,49
2025-02-11,8597,21852,87.1,3.65,49.6,69.6,48,73,47
2025-02-12,8129,27072,86.1,3.5,51.7,78.4,62,70,52
2025-02-13,5635,26208,87.2,2.13,44.3,68.8,49,55,50
2025-02-14,7433,24120,84.6,4.63,52.8,65.9,57,66,42
2025-02-15,5276,28008,92.1,3.88,45.6,73.3,72,52,50
2025-02-16,6612,32976,89.5,3.42,40.2,65.9,59,61,55
2025-02-17,5964,23904,94.4,3.91,50.5,70.2,38,57,52
2025-02-18,6548,26532,83.4,3.81,38.6,75.6,55,60,62
2025-02-19,5701,29016,93.1,3.48,39.5,74.3,57,55,40
2025-02-20,4324,29628,85.9,2.25,37.1,71.6,56,46,47
2025-02-21,6974,23832,77.0,2.27,35.9,70.4,46,63,51
2025-02-22,8191,31212,95.6,4.55,56.9,64.3,58,71,67
2025-02-23,5324,24516,88.9,2.65,42.7,71.0,33,53,43
2025-02-24,7322,26640,92.1,2.92,55.7,70.0,63,65,48
2025-02-25,8219,29556,82.8,3.99,49.9,67.9,56,71,52
2025-02-26,3197,29376,88.4,3.27,29.5,74.5,28,39,18
2025-02-27,7623,32976,91.3,3.54,34.4,65.9,54,67,51
2025-02-28,5784,25632,74.0,2.75,40.4,68.8,59,56,48
2025-03-01,5969,29736,91.2,3.7,42.3,69.4,61,57,33
2025-03-02,7542,29124,94.5,3.91,47.8,70.2,40,67,57
2025-03-03,4894,25308,97.0,2.63,36.8,75.1,50,50,33
2025-03-04,6149,27504,89.4,2.78,37.0,75.9,31,58,46
2025-03-05,8086,27576,82.1,2.76,54.2,76.4,63,70,80
2025-03-06,4351,24156,76.9,4.26,37.0,71.4,51,47,25
2025-03-07,3406,25596,86.9,3.72,30.0,72.7,44,41,26
2025-03-08,6047,27792,86.6,4.32,45.8,66.9,63,57,55
2025-03-09,4408,29880,91.5,3.8,29.0,73.3,53,47,16
2025-03-10,5339,27036,93.5,4.07,36.5,71.2,43,53,38
2025-03-11,4153,22464,77.7,1.92,31.6,75.0,45,45,23
2025-03-12,6241,24156,76.5,2.68,44.9,70.1,44,58,33
2025-03-13,7215,26964,78.6,3.63,41.8,70.8,46,64,64
2025-03-14,4393,24984,74.2,3.31,35.6,62.9,48,47,36
2025-03-15,3633,28800,85.1,3.6,33.6,71.2,71,42,27
2025-03-16,6024,26748,86.1,4.45,44.4,80.2,34,57,62
2025-03-17,6386,29088,91.2,2.91,45.1,71.9,57,59,50
2025-03-18,6463,30276,92.9,3.93,38.8,67.2,51,60,65
2025-03-19,8360,25848,84.2,3.66,40.1,71.2,55,72,51
2025-03-20,8025,27504,86.7,3.05,47.5,71.5,75,70,69
2025-03-21,6656,25560,79.9,2.92,50.2,67.4,62,61,36
2025-03-22,5091,28404,87.1,3.38,38.8,67.5,65,51,4
2025-03-23,4064,28512,87.1,3.89,36.2,68.2,66,45,36
2025-03-24,4614,32472,91.1,2.56,34.4,76.3,51,48,23
2025-03-25,5476,19440,84.9,3.76,27.2,68.8,40,54,47
2025-03-26,5644,27468,74.8,3.2,15.8,72.9,42,55,52
